name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
Dyu Art Cafe,No,No,4.5 /5,3849,"+91 9895674244
+91 9611319774",Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",800
M World Cafe,Yes,No,3.5 /5,14,"+91 9980305500
+91 9716189257",Koramangala 1st Block,Cafe,,Cafe,500
Dice N Dine,Yes,Yes,4.3 /5,1810,"080 41302255
+91 8105273207",Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos, Pasta","Continental, Cafe, Italian, Fast Food, Steak",900
Om Made Cafe,No,No,4.1 /5,2737,"080 43024010
080 25533369",Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices","1,300"
Third Wave Coffee Roasters,No,No,4.4 /5,1227,+91 7337684222,Koramangala 4th Block,Cafe,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie","Cafe, Continental, Desserts",800
Enerjuvate Studio & Cafe,Yes,Yes,4.4 /5,469,"+91 9741404711
080 48148585",Koramangala 4th Block,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800
Market Table,No,Yes,4.5 /5,553,080 49652848,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",900
Stoked!,No,No,4.3 /5,295,"+91 9902255447
080 41644455",Koramangala 4th Block,Cafe,"Pizza, Pancakes, Penne Pasta, Hot Chocolate, Mezze Platter, Cappuccino, Waffles","Cafe, Italian, Pizza",850
Bundar,No,No,4.1 /5,2450,080 41425060,Koramangala 6th Block,Cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings","Cafe, Burger, Fast Food, Desserts",700
The Yellow Tuk-Tuk Cafe,Yes,No,3.6 /5,16,"+91 9003524204
080 43761969",Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",500
Lakeview Milkbar,No,No,3.8 /5,290,080 25715455,Koramangala 8th Block,"Dessert Parlor, Cafe","Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes","Desserts, Cafe, Fast Food",500
Cafe Arabica,No,No,3.8 /5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery, Arabian, Fast Food",700
Smack Cafe,No,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
De Street Cafe,No,No,3.6 /5,61,+91 8048534323,BTM,Cafe,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",Cafe,500
Cafe Hush,No,No,3.6 /5,22,+91 9113838818,BTM,Cafe,,"Cafe, Fast Food",500
The 90s Hash House,No,No,3.8 /5,63,"080 75961114
+91 9900873434",BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,500
Cafe Longing,Yes,No,NEW,0,+91 9632107737,BTM,Cafe,,"Cafe, Fast Food",200
Dipd N Chocolate,Yes,No,NEW,0,+91 7411670557,Koramangala 7th Block,Cafe,,"Cafe, Desserts",300
Cafe Mist,Yes,No,3.8 /5,187,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500
Insta Cafe,Yes,No,2.9 /5,7,"080 43025801
+91 9148121314",BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400
Lot Like Crepes,Yes,No,4.6 /5,1026,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550
Maxpresso,No,No,4.1 /5,324,,Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
The Chocolate Room,No,No,3.8 /5,64,080 41520999,Koramangala 7th Block,"Cafe, Bakery","Waffles, Burgers, Hot Chocolate, Chocolate Avalanche, Fries, Brownie","Cafe, Desserts, Bakery",600
Dipd N Chocolate,Yes,No,NEW,0,+91 7411670557,Koramangala 7th Block,Cafe,,"Cafe, Desserts",300
Onesta,Yes,Yes,4.4 /5,9085,"080 43723443
080 43705665",Koramangala 4th Block,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600
Third Wave Coffee Roasters,No,No,4.4 /5,1227,+91 7337684222,Koramangala 4th Block,Cafe,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie","Cafe, Continental, Desserts",800
Zee5 Loft,Yes,No,4.4 /5,364,080 49653381,Koramangala 6th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500
Sixth Avenue Cafe And Patisserie,No,No,4.4 /5,177,+91 9020902096,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Peri Chicken, Fries, Pasta Alfredo, Mocktails","Cafe, Italian, Desserts",600
Stoner,Yes,No,4.5 /5,2629,"080 41253030
+91 9849012123",Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Roundup Cafe,Yes,Yes,4.2 /5,517,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Nachos, Hot Chocolate","Cafe, Continental, Beverages",800
99 Pancakes,Yes,No,4.5 /5,349,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Beverages, Cafe, Ice Cream",300
Fresh Pressery Cafe,Yes,No,4.1 /5,141,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast, Pasta","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Smally's Resto Cafe,Yes,Yes,4.2 /5,1706,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650
Lakeview Milkbar,No,No,3.8 /5,290,080 25715455,Koramangala 8th Block,"Dessert Parlor, Cafe","Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes","Desserts, Cafe, Fast Food",500
TRIGEREATO,Yes,Yes,4.3 /5,104,"+91 9620840390
+91 7022098881",Koramangala 8th Block,Cafe,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700
Cafe On The Way,Yes,No,4.0 /5,275,"080 43742006
+91 9886720220",Koramangala 3rd Block,Cafe,"Waffles, Coffee, Pesto Sandwich, Hazelnut Cappuccino, Latte, Salads, Pasta",Cafe,500
Fetchpod Cafe,No,No,2.9 /5,12,"080 25530333
+91 7022959992",Koramangala 6th Block,Cafe,,"Cafe, North Indian, Chinese, Continental",500
Oregano Pizzeria,Yes,No,3.7 /5,52,080 48664711,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450
Bistro Claytopia,Yes,Yes,4.1 /5,1855,"080 43759392
+91 9834934359",Koramangala 1st Block,Cafe,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich","Cafe, American, Italian, Burger",600
Cafe Arabica,No,No,3.8 /5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery, Arabian, Fast Food",700
Chillout,Yes,No,,0,+91 7012057119,BTM,Cafe,,"Burger, Cafe, Pizza, Beverages",200
Smack Cafe,No,No,,0,+91 9663076096,Koramangala 1st Block,Cafe,,Cafe,400
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
Shivaay's Cafe,No,No,NEW,0,+91 8971302420,Wilson Garden,"Cafe, Dessert Parlor",,"Cafe, Desserts, Fast Food",400
Lot Like Crepes,Yes,No,4.6 /5,1027,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550
The Vacationer's Cafe,Yes,No,4.1 /5,306,"+91 9663420209
080 43705539",Koramangala 7th Block,Cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600
Tata Cha,Yes,No,3.6 /5,32,18001208242,Koramangala 7th Block,Cafe,,"Cafe, Tea, North Indian",500
Vitamin Palace,No,No,4.1 /5,172,080 25520201,Koramangala 7th Block,Cafe,"Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich","Cafe, Beverages, Healthy Food, Juices",650
Breaktime Brew,Yes,No,3.7 /5,24,+91 9742347103,Koramangala 7th Block,Cafe,,Cafe,550
Maxpresso,No,No,4.1 /5,324,,Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",700
Cafe Coffee Day,Yes,No,3.2 /5,73,+91 9071718676,Koramangala 7th Block,Cafe,"Coffee, Cappuccino, Burgers, Garlic Bread, Sandwich",Cafe,650
The Eatery Cafe and Restaurant,No,No,,0,+91 7019858014,Koramangala 7th Block,Cafe,,"Cafe, Continental",500
Om's Cafe Prana,No,No,3.6 /5,17,+91 9844708137,Koramangala 7th Block,Cafe,,"Cafe, Fast Food",300
Smoor,Yes,No,4.2 /5,101,"+91 7760521107
080 42365939",Koramangala 7th Block,"Dessert Parlor, Cafe","Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake","Desserts, Cafe, Beverages",900
Truffles,No,No,4.7 /5,14726,080 49652818,Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",900
The Hole in the Wall Cafe,No,No,4.6 /5,7137,"080 40949490
+91 9945602562",Koramangala 4th Block,Cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette","Cafe, American, Burger",600
Dyu Art Cafe,No,No,4.5 /5,3854,"+91 9895674244
+91 9611319774",Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",800
ECHOES Koramangala,No,No,4.7 /5,3220,+91 9663042921,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750
Foxtrot - House of Subculture,No,Yes,4.4 /5,377,080 49652660,Koramangala 3rd Block,"Cafe, Lounge","Cocktails, Fish, Mocktails, Momos, Burgers, Pizza, Chicken Lollipop","Cafe, American, Asian, North Indian","1,000"
Onesta,Yes,Yes,4.4 /5,9085,"080 43723443
080 43705665",Koramangala 4th Block,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600
Om Made Cafe,No,No,4.1 /5,2738,"080 43024010
080 25533369",Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices","1,300"
Third Wave Coffee Roasters,No,No,4.4 /5,1228,+91 7337684222,Koramangala 4th Block,Cafe,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie","Cafe, Continental, Desserts",800
Zee5 Loft,Yes,No,4.4 /5,365,080 49653381,Koramangala 6th Block,Cafe,"Tomato Soup, Salad, Pizza, Fries, Brownie Shake, Pasta, Chicken Bbq Wings","Cafe, North Indian, Pizza, Sandwich, Salad",500
Blue Tokai Coffee Roasters,Yes,No,4.0 /5,79,+91 9319970404,Koramangala 8th Block,Cafe,"Coffee, Potato Wedges","Cafe, Coffee",400
Sixth Avenue Cafe And Patisserie,No,No,4.4 /5,177,+91 9020902096,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Peri Chicken, Fries, Pasta Alfredo, Mocktails","Cafe, Italian, Desserts",600
A Hole Lotta Love Cafe,Yes,No,4.3 /5,2874,"080 25522562
+91 9611031867",Koramangala 5th Block,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600
Hungry Hippie,No,Yes,4.3 /5,1475,080 49653231,Koramangala 5th Block,Cafe,"Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade","Cafe, Continental, Italian, Burger",800
Mimansa @ Foxtrot,Yes,Yes,4.4 /5,193,"+91 9606485642
+91 9606485641",Koramangala 3rd Block,Cafe,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries",Cafe,"1,000"
Dice N Dine,Yes,Yes,4.3 /5,1810,"080 41302255
+91 8105273207",Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos, Pasta","Continental, Cafe, Italian, Fast Food, Steak",900
Dialogues,No,No,4.1 /5,315,+91 8800946279,Koramangala 4th Block,Cafe,"Poha, Momos, Chai, Pasta, Tea, Pancakes, Chicken Sandwich","Cafe, Continental",600
Nuts Over Salads Cafe,Yes,Yes,4.4 /5,214,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Burgers, Broccoli Soup, Steak, Soba Noodles","Cafe, Salad, Healthy Food, Mexican",800
YORK St.,Yes,No,4.4 /5,951,+91 7624945998,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900
Roundup Cafe,Yes,Yes,4.2 /5,520,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Nachos, Hot Chocolate","Cafe, Continental, Beverages",800
Enerjuvate Studio & Cafe,Yes,Yes,4.4 /5,470,"+91 9741404711
080 48148585",Koramangala 4th Block,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800
Market Table,No,Yes,4.5 /5,556,080 49652848,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",900
Cafe Graffiters,Yes,No,3.8 /5,23,+91 9074629989,Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",600
Stoked!,No,No,4.3 /5,295,"+91 9902255447
080 41644455",Koramangala 4th Block,Cafe,"Pizza, Pancakes, Penne Pasta, Hot Chocolate, Mezze Platter, Cappuccino, Waffles","Cafe, Italian, Pizza",850
Kargeens,Yes,No,4.1 /5,992,"+91 8041162968
+91 9886472872",Koramangala 6th Block,Cafe,"Mocktails, Pasta Alfredo, Nachos, Veggie Pizza, Hot Chocolate, Noodles, Brownie Shake","Cafe, Continental, Italian",600
154 Breakfast Club,Yes,Yes,4.0 /5,1519,080 25533133,Koramangala 3rd Block,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900
Mr. Beans - Home Cafe,Yes,Yes,4.2 /5,2717,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Qube Cafe,Yes,No,4.2 /5,170,+91 9535256633,Koramangala 4th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700
Gudguda Prime Cafe,No,Yes,4.2 /5,817,"+91 9886374766
+91 9741567111",Koramangala 6th Block,Cafe,"Mocktails, Pizza, Veg Platter, Brownie, Burgers, Pasta, Fries Basket","Cafe, Continental, Chinese, Italian",800
Krazy Factory,No,No,4.0 /5,431,,Koramangala 5th Block,Cafe,"Sandwiches, Pizza, Burgers, Chicken Wings, Steak, Fries, Noodles","Cafe, Continental, Chinese",
Cafe D'hide,Yes,Yes,4.2 /5,877,+91 7204196666,Koramangala 5th Block,Cafe,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600
Attic Lounge,Yes,Yes,4.0 /5,1243,,Koramangala 4th Block,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Spaghetti",Cafe,700
Cafe Medley,Yes,No,4.2 /5,1066,"+91 8041160865
+91 9845141475",Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800
Mustard Cafe,Yes,No,4.1 /5,895,"+91 8040940831
+91 8606621987",Koramangala 3rd Block,Cafe,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers","Cafe, Continental, Burger, Salad, Healthy Food, Italian",800
Bundar,No,No,4.1 /5,2451,080 41425060,Koramangala 6th Block,Cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings","Cafe, Burger, Fast Food, Desserts",700
Fresh Pressery Cafe,Yes,No,4.1 /5,141,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Sandwiches, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Bistro Oui,Yes,Yes,4.1 /5,402,"+91 9535007412
+91 9972815434",Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","1,200"
Smally's Resto Cafe,Yes,Yes,4.2 /5,1708,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650
The Yellow Tuk-Tuk Cafe,Yes,No,3.6 /5,16,"+91 9003524204
080 43761969",Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",500
Waffle Magic,Yes,No,4.1 /5,87,080 49652808,Koramangala 6th Block,Cafe,Waffles,"Cafe, Desserts",700
White Fog,No,No,NEW,0,+91 7259575618,Koramangala 6th Block,Cafe,,"Cafe, Italian, Fast Food",800
Chai Galli,Yes,No,4.3 /5,481,"+91 9108422723
080 5532224",Koramangala 5th Block,Cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food",450
Fabindia Cafe,No,No,4.2 /5,226,+91 9880182859,Koramangala 2nd Block,Cafe,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha","Cafe, Street Food",200
Terra Bites,Yes,No,4.0 /5,66,+91 8043744044,Koramangala 4th Block,"Cafe, Casual Dining","Spaghetti, Hot Chocolate, Coffee, Tea","Cafe, Italian, Continental",700
WTF,Yes,No,4.1 /5,96,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Steak, Nachos, Omelette","Cafe, Continental",600
The Yogisthaan Cafe,Yes,No,4.1 /5,61,+91 7411160606,Koramangala 2nd Block,Cafe,"Paratha, Chai, Poha, Quinoa Burger","Cafe, Healthy Food, Salad, Beverages",600
Billionaires Cafe,No,No,3.8 /5,47,+91 9845553555,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",600
Cafemoto,Yes,No,4.0 /5,202,"+91 6360827051
+91 8129229603",Koramangala 5th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800
Smise,No,No,4.0 /5,1209,,Koramangala 4th Block,Cafe,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza","Cafe, Continental, Italian, Burger, Pizza",650
Tella Tales,Yes,No,4.2 /5,414,+91 8792110657,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",700
Hungry Travellers Cafe,No,No,3.8 /5,27,+91 9845344009,Koramangala 4th Block,Cafe,,Cafe,450
Bun Town,Yes,No,3.8 /5,22,00 08043753499,Koramangala 5th Block,Cafe,,"Cafe, Bakery",500
Entropy Cafe,Yes,No,4.1 /5,508,+91 9886707141,Koramangala 6th Block,Cafe,"Nachos, Biryani, Chaat, Pancakes, Pizza, Pasta, Burgers","Cafe, Chinese, Pizza, North Indian, Burger",600
TRIGEREATO,Yes,Yes,4.3 /5,105,"+91 9620840390
+91 7022098881",Koramangala 8th Block,Cafe,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700
Cafe On The Way,Yes,No,4.0 /5,277,"080 43742006
+91 9886720220",Koramangala 3rd Block,Cafe,"Waffles, Coffee, Pesto Sandwich, Hazelnut Cappuccino, Latte, Salads, Pasta",Cafe,500
Dhuaan,No,No,4.4 /5,154,+91 7406434444,Koramangala 5th Block,Cafe,"Paneer Pizza, Oreo Shake, Onion Rings, Maggi, Peri Peri Chicken Pizza, Lamb Burger, Cheese Balls","Cafe, Continental",800
Tattva Cafe,No,No,2.8 /5,227,080 41262992,Koramangala 6th Block,Cafe,"Tea, Masala Chai, Filter Coffee, Sandwich, Burgers, Orange Juice, Poha",Cafe,450
Fetchpod Cafe,No,No,2.9 /5,12,"080 25530333
+91 7022959992",Koramangala 6th Block,Cafe,,"Cafe, North Indian, Chinese, Continental",500
G Resto Cafe,No,No,3.3 /5,4,+91 8660578780,Koramangala 4th Block,Cafe,,"Cafe, Fast Food, Beverages",400
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,No,No,3.2 /5,4,"+91 8030752750
080 25523350",Koramangala 4th Block,Cafe,,"Cafe, American, European",600
Oregano Pizzeria,Yes,No,3.7 /5,52,080 48664711,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450
Stoner,Yes,No,4.4 /5,2634,080 49652853,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Lakeview Milkbar,No,No,3.8 /5,290,080 25715455,Koramangala 8th Block,"Dessert Parlor, Cafe","Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes","Desserts, Cafe, Fast Food",500
Bistro Claytopia,Yes,Yes,4.1 /5,1856,"080 43759392
+91 9834934359",Koramangala 1st Block,Cafe,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich","Cafe, American, Italian, Burger",600
Mudpipe Cafe,Yes,Yes,4.5 /5,1883,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Cafe Thulp,Yes,No,4.2 /5,3007,"080 40933344
080 40933355",Koramangala 1st Block,Cafe,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles","Cafe, Burger, Italian, Salad","1,000"
Cafe Terra,Yes,No,4.1 /5,779,"080 41313553
+91 9739477277",Koramangala 1st Block,Cafe,"English Breakfast, Waffles, Chocolate Cake, Chicken Lasagne, Ginger Tea, Burgers, Chicken Thukpa","Cafe, Continental",700
Cafe Fattoush,Yes,No,3.8 /5,24,+91 8880786996,BTM,Cafe,,"Cafe, Lebanese",700
Black Cup Cafe,Yes,No,3.7 /5,28,+91 9972567777,BTM,Cafe,,"Cafe, Fast Food, Beverages",400
Cafe Arabica,No,No,3.8 /5,69,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery, Arabian, Fast Food",700
Bakers Town,Yes,No,3.6 /5,42,+91 7411103666,BTM,Cafe,"Fries, Pasta, Sandwich, Burgers, Chicken Burger, Monster Burger","Cafe, Continental, Fast Food",600
Wellness Cafe,No,No,,0,+91 9900459444,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400
M World Cafe,Yes,No,3.5 /5,14,"+91 9980305500
+91 9716189257",Koramangala 1st Block,Cafe,,Cafe,500
Chillout,Yes,No,,0,+91 7012057119,BTM,Cafe,,"Burger, Cafe, Pizza, Beverages",200
La Passion Cafe,Yes,No,,0,+91 8217706039,BTM,Cafe,,Cafe,500
Cafe 221B,Yes,Yes,3.7 /5,49,"+91 7899022907
+91 9895765188",BTM,Cafe,,"Cafe, Beverages",300
Loca Moca,No,No,3.7 /5,46,080 65650105,Koramangala 1st Block,Cafe,"Coffee, Hazelnut Cappuccino, Chicken Keema Roll, Chicken Sandwich, Grilled Chicken Wrap","Cafe, Continental",600
De Street Cafe,No,No,3.6 /5,61,+91 8048534323,BTM,Cafe,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",Cafe,500
Cafe Hush,No,No,3.6 /5,22,+91 9113838818,BTM,Cafe,,"Cafe, Fast Food",500
Dreams Cafe - All Day English Food St.,Yes,No,3.8 /5,230,+91 8553617173,Koramangala 1st Block,Cafe,"English Breakfast, Coffee, Burgers, Fish, Omelette, Sandwiches, Chicken Burger","Cafe, Continental, Burger",600
The 90s Hash House,No,No,3.8 /5,63,"080 75961114
+91 9900873434",BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,500
Foxtrot - House of Subculture,No,Yes,4.4 /5,377,080 49652660,Koramangala 3rd Block,"Cafe, Lounge","Cocktails, Fish, Mocktails, Momos, Pizza, Chicken Lollipop, Mushroom Risotto","Cafe, American, Asian, North Indian","1,000"
